Epoch,X,Y_Label,W,b,net,fnet,dw,dz,db
0,"[0.,0.,0.,...,0.,0.,0.]",0,"[[ 0.0074,-0.0025, 0.023 ,...,-0.0172,-0.0038, 0.011 ],
 [ 0.013 , 0.0003,-0.0103,..., 0.0002, 0.0044,-0.0055],
 [ 0.008 ,-0.0004,-0.0013,..., 0.0014, 0.0138,-0.0045],
 ...,
 [-0.0018,-0.0098, 0.0174,..., 0.0011, 0.0089,-0.0136],
 [-0.003 ,-0.0073,-0.0139,..., 0.0039,-0.0059,-0.0037],
 [ 0.0023, 0.0009,-0.0018,...,-0.0016,-0.0072, 0.0163]]","[[ 0.0003, 0.003 , 0.0005,-0.01  , 0.0034, 0.0036,-0.0018, 0.0014, 0.0012,
  -0.0015]]","[ 0.225 ,-0.1297, 0.5911, 0.1557,-0.7421,-0.0486, 0.9815,-1.2644,-0.2824,
 -0.2906]","[0.114 ,0.08  ,0.1644,0.1064,0.0433,0.0867,0.2429,0.0257,0.0686,0.0681]","[[0.,0.,0.,...,0.,0.,0.],
 [0.,0.,0.,...,0.,0.,0.],
 [0.,0.,0.,...,0.,0.,0.],
 ...,
 [0.,0.,0.,...,0.,0.,0.],
 [0.,0.,0.,...,0.,0.,0.],
 [0.,0.,0.,...,0.,0.,0.]]","[-0.886 , 0.08  , 0.1644, 0.1064, 0.0433, 0.0867, 0.2429, 0.0257, 0.0686,
  0.0681]","[[-0.0026,-0.0301,-0.0053, 0.1   ,-0.0336,-0.0362, 0.0183,-0.0142,-0.0119,
   0.0155]]"
1,"[0.,0.,0.,...,0.,0.,0.]",0,"[[ 0.0074,-0.0025, 0.023 ,...,-0.0172,-0.0038, 0.011 ],
 [ 0.013 , 0.0003,-0.0103,..., 0.0002, 0.0044,-0.0055],
 [ 0.008 ,-0.0004,-0.0013,..., 0.0014, 0.0138,-0.0045],
 ...,
 [-0.0018,-0.0098, 0.0174,..., 0.0011, 0.0089,-0.0136],
 [-0.003 ,-0.0073,-0.0139,..., 0.0039,-0.0059,-0.0037],
 [ 0.0023, 0.0009,-0.0018,...,-0.0016,-0.0072, 0.0163]]","[[-6.3184e-03, 7.0291e-03, 4.5138e-03, 2.8411e-05,-9.2068e-03,-3.6410e-03,
   6.8931e-03, 4.5750e-03,-1.2298e-02, 8.4250e-03]]","[ 13.427 , -2.8102,  0.3706,-17.5541,  2.5854,  6.2754, -1.3736, -0.095 ,
   3.3318, -4.9616]","[9.9915e-01,8.8694e-08,2.1345e-06,3.5053e-14,1.9552e-05,7.8297e-04,
 3.7309e-07,1.3400e-06,4.1242e-05,1.0317e-08]","[[0.,0.,0.,...,0.,0.,0.],
 [0.,0.,0.,...,0.,0.,0.],
 [0.,0.,0.,...,0.,0.,0.],
 ...,
 [0.,0.,0.,...,0.,0.,0.],
 [0.,0.,0.,...,0.,0.,0.],
 [0.,0.,0.,...,0.,0.,0.]]","[-8.4771e-04, 8.8694e-08, 2.1345e-06, 3.5053e-14, 1.9552e-05, 7.8297e-04,
  3.7309e-07, 1.3400e-06, 4.1242e-05, 1.0317e-08]","[[ 0.0658,-0.0402,-0.0399,-0.1003, 0.1257, 0.0726,-0.0872,-0.0316, 0.1349,
  -0.0997]]"
2,"[0.,0.,0.,...,0.,0.,0.]",0,"[[ 0.0074,-0.0025, 0.023 ,...,-0.0172,-0.0038, 0.011 ],
 [ 0.013 , 0.0003,-0.0103,..., 0.0002, 0.0044,-0.0055],
 [ 0.008 ,-0.0004,-0.0013,..., 0.0014, 0.0138,-0.0045],
 ...,
 [-0.0018,-0.0098, 0.0174,..., 0.0011, 0.0089,-0.0136],
 [-0.003 ,-0.0073,-0.0139,..., 0.0039,-0.0059,-0.0037],
 [ 0.0023, 0.0009,-0.0018,...,-0.0016,-0.0072, 0.0163]]","[[ 0.0039, 0.0105, 0.007 , 0.006 , 0.0009, 0.0058,-0.0263, 0.0138,-0.0025,
  -0.0191]]","[  0.7091,  0.6642,  6.8638, -0.7066,-15.84  , -5.8993, 14.7949,  4.5809,
 -14.0669,  8.0955]","[7.6194e-07,7.2848e-07,3.5880e-04,1.8496e-07,4.9515e-14,1.0279e-09,
 9.9837e-01,3.6593e-05,2.9159e-13,1.2296e-03]","[[0.,0.,0.,...,0.,0.,0.],
 [0.,0.,0.,...,0.,0.,0.],
 [0.,0.,0.,...,0.,0.,0.],
 ...,
 [0.,0.,0.,...,0.,0.,0.],
 [0.,0.,0.,...,0.,0.,0.],
 [0.,0.,0.,...,0.,0.,0.]]","[-1.0000e+00, 7.2848e-07, 3.5880e-04, 1.8496e-07, 4.9515e-14, 1.0279e-09,
  9.9837e-01, 3.6593e-05, 2.9159e-13, 1.2296e-03]","[[-0.1021,-0.0346,-0.0248,-0.0599,-0.1012,-0.0948, 0.3324,-0.092 ,-0.0985,
   0.2754]]"
3,"[0.,0.,0.,...,0.,0.,0.]",0,"[[ 0.0074,-0.0025, 0.023 ,...,-0.0172,-0.0038, 0.011 ],
 [ 0.013 , 0.0003,-0.0103,..., 0.0002, 0.0044,-0.0055],
 [ 0.008 ,-0.0004,-0.0013,..., 0.0014, 0.0138,-0.0045],
 ...,
 [-0.0018,-0.0098, 0.0174,..., 0.0011, 0.0089,-0.0136],
 [-0.003 ,-0.0073,-0.0139,..., 0.0039,-0.0059,-0.0037],
 [ 0.0023, 0.0009,-0.0018,...,-0.0016,-0.0072, 0.0163]]","[[ 0.0021, 0.0128, 0.0023, 0.0007, 0.011 , 0.0152,-0.0162,-0.0264, 0.0074,
  -0.009 ]]","[ 30.4788,  3.6826, 10.5968, 10.0132, -2.4602,  9.7551,-48.9013, 17.2908,
   3.0976,-34.3579]","[1.0000e+00,2.3045e-12,2.3193e-09,1.2939e-09,4.9520e-15,9.9959e-10,
 3.3546e-35,1.8729e-06,1.2838e-12,6.9465e-29]","[[0.,0.,0.,...,0.,0.,0.],
 [0.,0.,0.,...,0.,0.,0.],
 [0.,0.,0.,...,0.,0.,0.],
 ...,
 [0.,0.,0.,...,0.,0.,0.],
 [0.,0.,0.,...,0.,0.,0.],
 [0.,0.,0.,...,0.,0.,0.]]","[-1.8775e-06, 2.3045e-12, 2.3193e-09, 1.2939e-09, 4.9520e-15, 9.9959e-10,
  3.3546e-35, 1.8729e-06, 1.2838e-12, 6.9465e-29]","[[ 0.0183,-0.0235, 0.0468, 0.0529,-0.1011,-0.094 ,-0.1012, 0.4013,-0.0983,
  -0.1012]]"
4,"[0.,0.,0.,...,0.,0.,0.]",0,"[[ 0.0074,-0.0025, 0.023 ,...,-0.0172,-0.0038, 0.011 ],
 [ 0.013 , 0.0003,-0.0103,..., 0.0002, 0.0044,-0.0055],
 [ 0.008 ,-0.0004,-0.0013,..., 0.0014, 0.0138,-0.0045],
 ...,
 [-0.0018,-0.0098, 0.0174,..., 0.0011, 0.0089,-0.0136],
 [-0.003 ,-0.0073,-0.0139,..., 0.0039,-0.0059,-0.0037],
 [ 0.0023, 0.0009,-0.0018,...,-0.0016,-0.0072, 0.0163]]","[[ 0.0079, 0.0163, 0.0118, 0.0106, 0.0113, 0.0011,-0.0061,-0.0163,-0.0376,
   0.0011]]","[ 27.8082,  5.7171,  2.6496,  1.8498, 10.9162, 25.3005,-30.4376,-43.6818,
  20.248 ,-21.1743]","[9.2423e-01,2.3537e-10,1.0954e-11,4.9227e-12,4.2628e-08,7.5284e-02,
 4.6769e-26,8.2813e-32,4.8132e-04,4.9313e-22]","[[0.,0.,0.,...,0.,0.,0.],
 [0.,0.,0.,...,0.,0.,0.],
 [0.,0.,0.,...,0.,0.,0.],
 ...,
 [0.,0.,0.,...,0.,0.,0.],
 [0.,0.,0.,...,0.,0.,0.],
 [0.,0.,0.,...,0.,0.,0.]]","[-7.5765e-02, 2.3537e-10, 1.0954e-11, 4.9227e-12, 4.2628e-08, 7.5284e-02,
  4.6769e-26, 8.2813e-32, 4.8132e-04, 4.9313e-22]","[[-0.0587,-0.0342,-0.0944,-0.0984,-0.0027, 0.1416,-0.1012,-0.1003, 0.4494,
  -0.1012]]"
5,"[0.,0.,0.,...,0.,0.,0.]",0,"[[ 0.0074,-0.0025, 0.023 ,...,-0.0172,-0.0038, 0.011 ],
 [ 0.013 , 0.0003,-0.0103,..., 0.0002, 0.0044,-0.0055],
 [ 0.008 ,-0.0004,-0.0013,..., 0.0014, 0.0138,-0.0045],
 ...,
 [-0.0018,-0.0098, 0.0174,..., 0.0011, 0.0089,-0.0136],
 [-0.003 ,-0.0073,-0.0139,..., 0.0039,-0.0059,-0.0037],
 [ 0.0023, 0.0009,-0.0018,...,-0.0016,-0.0072, 0.0163]]","[[-1.0533e-02, 1.3580e-02,-1.9849e-03,-5.7162e-05, 7.3336e-03, 1.0559e-02,
   3.8907e-03,-6.3050e-03,-2.7717e-02, 1.1234e-02]]","[ 45.9421,  9.1027, 17.4329, 18.5089, 11.6349, -6.7317,-11.974 ,-29.8944,
 -46.8353, -7.9907]","[1.0000e+00,1.0019e-16,4.1555e-13,1.2187e-12,1.2606e-15,1.3307e-23,
 7.0366e-26,1.1605e-33,5.0966e-41,3.7780e-24]","[[0.,0.,0.,...,0.,0.,0.],
 [0.,0.,0.,...,0.,0.,0.],
 [0.,0.,0.,...,0.,0.,0.],
 ...,
 [0.,0.,0.,...,0.,0.,0.],
 [0.,0.,0.,...,0.,0.,0.],
 [0.,0.,0.,...,0.,0.,0.]]","[-1.6356e-12, 1.0019e-16, 4.1555e-13, 1.2187e-12, 1.2606e-15, 1.3307e-23,
  7.0366e-26, 1.1605e-33, 5.0966e-41, 3.7780e-24]","[[ 0.1846, 0.0268, 0.1374, 0.1062, 0.0396,-0.0948,-0.1   ,-0.1003,-0.0985,
  -0.1011]]"
6,"[0.,0.,0.,...,0.,0.,0.]",0,"[[ 0.0074,-0.0025, 0.023 ,...,-0.0172,-0.0038, 0.011 ],
 [ 0.013 , 0.0003,-0.0103,..., 0.0002, 0.0044,-0.0055],
 [ 0.008 ,-0.0004,-0.0013,..., 0.0014, 0.0138,-0.0045],
 ...,
 [-0.0018,-0.0098, 0.0174,..., 0.0011, 0.0089,-0.0136],
 [-0.003 ,-0.0073,-0.0139,..., 0.0039,-0.0059,-0.0037],
 [ 0.0023, 0.0009,-0.0018,...,-0.0016,-0.0072, 0.0163]]","[[-0.0023, 0.0042, 0.0058, 0.0012, 0.0117, 0.0098,-0.005 , 0.0037,-0.0179,
  -0.0112]]","[ 10.5805,  5.798 , -2.5265,  3.8752,  6.8427,  8.9229,  6.2935,-16.107 ,
 -29.6708,  5.187 ]","[8.0496e-01,6.7414e-03,1.6348e-06,9.8560e-04,1.9163e-02,1.5342e-01,
 1.1065e-02,2.0681e-12,2.6599e-18,3.6595e-03]","[[0.,0.,0.,...,0.,0.,0.],
 [0.,0.,0.,...,0.,0.,0.],
 [0.,0.,0.,...,0.,0.,0.],
 ...,
 [0.,0.,0.,...,0.,0.,0.],
 [0.,0.,0.,...,0.,0.,0.],
 [0.,0.,0.,...,0.,0.,0.]]","[-1.9504e-01, 6.7414e-03, 1.6348e-06, 9.8560e-04, 1.9163e-02, 1.5342e-01,
  1.1065e-02, 2.0681e-12, 2.6599e-18, 3.6595e-03]","[[-0.0823, 0.0943,-0.078 ,-0.0126,-0.0434, 0.0079, 0.0886,-0.1001,-0.0985,
   0.2241]]"
7,"[0.,0.,0.,...,0.,0.,0.]",0,"[[ 0.0074,-0.0025, 0.023 ,...,-0.0172,-0.0038, 0.011 ],
 [ 0.013 , 0.0003,-0.0103,..., 0.0002, 0.0044,-0.0055],
 [ 0.008 ,-0.0004,-0.0013,..., 0.0014, 0.0138,-0.0045],
 ...,
 [-0.0018,-0.0098, 0.0174,..., 0.0011, 0.0089,-0.0136],
 [-0.003 ,-0.0073,-0.0139,..., 0.0039,-0.0059,-0.0037],
 [ 0.0023, 0.0009,-0.0018,...,-0.0016,-0.0072, 0.0163]]","[[-0.0037, 0.0123,-0.0051, 0.0019,-0.0193, 0.017 , 0.0005, 0.0055,-0.008 ,
  -0.0011]]","[ 35.0302, -8.1543,  9.2951,  4.9908,  9.4943,  1.9349, -9.845 , -2.3393,
 -12.5063,-28.7049]","[1.0000e+00,1.7588e-19,6.6585e-12,8.9962e-14,8.1261e-12,4.2354e-15,
 3.2429e-20,5.8971e-17,2.2654e-21,2.0902e-28]","[[0.,0.,0.,...,0.,0.,0.],
 [0.,0.,0.,...,0.,0.,0.],
 [0.,0.,0.,...,0.,0.,0.],
 ...,
 [0.,0.,0.,...,0.,0.,0.],
 [0.,0.,0.,...,0.,0.,0.],
 [0.,0.,0.,...,0.,0.,0.]]","[-1.4879e-11, 1.7588e-19, 6.6585e-12, 8.9962e-14, 8.1261e-12, 4.2354e-15,
  3.2429e-20, 5.8971e-17, 2.2654e-21, 2.0902e-28]","[[ 0.0141,-0.0811, 0.1093,-0.0071, 0.3101,-0.0728,-0.0549,-0.0182,-0.0984,
  -0.1012]]"
8,"[0.,0.,0.,...,0.,0.,0.]",0,"[[ 0.0074,-0.0025, 0.023 ,...,-0.0172,-0.0038, 0.011 ],
 [ 0.013 , 0.0003,-0.0103,..., 0.0002, 0.0044,-0.0055],
 [ 0.008 ,-0.0004,-0.0013,..., 0.0014, 0.0138,-0.0045],
 ...,
 [-0.0018,-0.0098, 0.0174,..., 0.0011, 0.0089,-0.0136],
 [-0.003 ,-0.0073,-0.0139,..., 0.0039,-0.0059,-0.0037],
 [ 0.0023, 0.0009,-0.0018,...,-0.0016,-0.0072, 0.0163]]","[[-0.0044, 0.0127, 0.0014, 0.0036,-0.0092,-0.0111,-0.0018, 0.0048,-0.005 ,
   0.009 ]]","[ 32.5534, -0.7967, -5.0555,  6.9174,-38.7771, 14.4429,  0.4649,  0.3102,
   4.6573,-15.5213]","[1.0000e+00,3.2829e-15,4.6418e-17,7.3527e-12,1.0509e-31,1.3638e-08,
 1.1592e-14,9.9304e-15,7.6717e-13,1.3226e-21]","[[0.,0.,0.,...,0.,0.,0.],
 [0.,0.,0.,...,0.,0.,0.],
 [0.,0.,0.,...,0.,0.,0.],
 ...,
 [0.,0.,0.,...,0.,0.,0.],
 [0.,0.,0.,...,0.,0.,0.],
 [0.,0.,0.,...,0.,0.,0.]]","[-1.3646e-08, 3.2829e-15, 4.6418e-17, 7.3527e-12, 1.0509e-31, 1.3638e-08,
  1.1592e-14, 9.9304e-15, 7.6717e-13, 1.3226e-21]","[[ 0.0071,-0.0048,-0.0655,-0.0169,-0.1012, 0.2815, 0.023 , 0.0071,-0.03  ,
  -0.1004]]"
9,"[0.,0.,0.,...,0.,0.,0.]",0,"[[ 0.0074,-0.0025, 0.023 ,...,-0.0172,-0.0038, 0.011 ],
 [ 0.013 , 0.0003,-0.0103,..., 0.0002, 0.0044,-0.0055],
 [ 0.008 ,-0.0004,-0.0013,..., 0.0014, 0.0138,-0.0045],
 ...,
 [-0.0018,-0.0098, 0.0174,..., 0.0011, 0.0089,-0.0136],
 [-0.003 ,-0.0073,-0.0139,..., 0.0039,-0.0059,-0.0037],
 [ 0.0023, 0.0009,-0.0018,...,-0.0016,-0.0072, 0.0163]]","[[-0.0046, 0.0136, 0.0014, 0.0007, 0.0009,-0.0016,-0.002 , 0.0061,-0.0166,
   0.0022]]","[ 32.6892, -0.5107,  4.9684,  9.72  ,-25.3973,-28.4708, -1.8313, -0.6147,
  11.0411, -2.3983]","[1.0000e+00,3.8148e-15,9.1411e-13,1.0583e-10,5.9342e-26,2.7452e-27,
 1.0184e-15,3.4380e-15,3.9658e-10,5.7769e-16]","[[0.,0.,0.,...,0.,0.,0.],
 [0.,0.,0.,...,0.,0.,0.],
 [0.,0.,0.,...,0.,0.,0.],
 ...,
 [0.,0.,0.,...,0.,0.,0.],
 [0.,0.,0.,...,0.,0.,0.],
 [0.,0.,0.,...,0.,0.,0.]]","[-5.0333e-10, 3.8148e-15, 9.1411e-13, 1.0583e-10, 5.9342e-26, 2.7452e-27,
  1.0184e-15, 3.4380e-15, 3.9658e-10, 5.7769e-16]","[[ 2.2531e-03,-8.3425e-03,-8.9202e-05, 2.9120e-02,-1.0118e-01,-9.4804e-02,
   2.6635e-03,-1.2843e-02, 1.1570e-01, 6.7519e-02]]"
